unitNumber,name,idNumber,vehicleCapacity,unitRoute,userPassword,rideDate,minimumPrice
201,Carlos Mendoza,0912233445,4,201,carm1,2025-12-20,5.00
305,Lucía Herrera,0929988776,4,305,luci4,2025-12-21,7.50
412,Andrés Paredes,0956677889,4,412,andr3,2025-12-22,6.00
518,Valeria Gómez,0965544332,4,518,val3,2025-12-23,8.00
629,Diego Ríos,0941122334,4,629,drio5,2025-12-24,4.50
734,Mariana Torres,0973345566,4,734,mari7,2025-12-25,6.00
845,José Ramírez,0982211443,4,845,jram8,2025-12-26,5.50
956,Paola Cedeño,0967788991,4,956,paoc9,2025-12-27,7.00
107,Esteban Loor,0945566778,4,107,est10,2025-12-28,4.75
218,Daniela Vinueza,0954433221,4,218,dani2,2025-12-29,8.25
329,Marco Villacís,0932211987,4,329,marc3,2025-12-30,6.50
440,Andrea Salinas,0923344556,4,440,ands4,2025-12-31,7.80
551,Kevin Jaramillo,0919988776,4,551,kevi5,2026-01-01,5.25
662,Carla Paredes,0976655443,4,662,carp6,2026-01-02,6.75
773,Juan Cárdenas,0988877665,4,773,juac7,2026-01-03,4.90
884,Sofía Molina,0956677123,4,884,sofm8,2026-01-04,7.40
995,Diego Zambrano,0942233445,4,995,dzam9,2026-01-05,5.80
92,Daniel Solis,2001346123,5,92,daniel123,2025-12-18,5
